impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K21-142424,A654246,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2361858,In Public Home,,Dog,Unknown<p/>,Female,Toy Fox Terrier,Unknown,12/05/2021 12:00:00 AM,Date Found,19800 block of  77TH AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2361858,Image Copyright HLP Inc. 2022,<p/>Age: Unknown<p/>Found Near: 19800 block of  77TH AVE NE<p/>Found Date: 2021-12-05<p/>,
K22-143286,A656132,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A656132,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sol,Cat,2 YEARS,Spayed Female,Domestic Shorthair,Calico,01/14/2022 12:00:00 AM,Received on,900 block of  3RD AVE N,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656132,Image Copyright HLP Inc. 2022,"Received on: 2022-01-14<p/> Found Near: 900 block of  3RD AVE N<p/> Description: Calico Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-143040,A653110,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A653110,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Duck,Cat,2 YEARS 2 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,01/04/2022 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A653110,Image Copyright HLP Inc. 2022,"Received on: 2022-01-04<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS 2 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Duck and I am available for adoption.<p/><p/>My adoption fee was paid for by a generous donor so that I can find my forever home even faster!<p/><p/>I am an affectionate lovebug who likes getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break. I do not like to be picked up and would prefer a family that respects this about me.<p/><p/>At times, I am also an independent kitty who likes to do my own thing!<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>Because of my sensitivity to a lot of handling, I would do best in a cat savvy, adult only home.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",RED
K21-142643,A654669,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2366579,LOST,BombÓn,Dog,Over 1 year<p/>,Male,Alaskan Husky,Black,12/13/2021 12:00:00 AM,Date Lost,MILITARY  ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2366579,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: Military Road , Seattle WA  98168<p/>Lost Date: 2021-12-13<p/>",
K22-143290,A656137,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A656137,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Lop-Holland,NO AGE,Unknown,Lop-Holland,Brown,01/14/2022 12:00:00 AM,Received on,18000 block of  SE 267TH ST,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656137,Image Copyright HLP Inc. 2022,"Received on: 2022-01-14<p/> Found Near: 18000 block of  SE 267TH ST<p/> Description: Brown Unknown Lop-Holland Lop-Holland<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-143319,A656185,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382212,LOST,Maxx,Dog,Over 1 year<p/>,Male,Standard Poodle,Unknown,01/16/2022 12:00:00 AM,Date Lost,116TH  AND 265TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382212,Image Copyright HLP Inc. 2022,"Description: Will be with his brother Kodi. Does not have a collar. Will not come if called<p/>Age: Over 1 year<p/>Location Lost: 116th and 265th, Spanaway WA  98387<p/>Lost Date: 2022-01-16<p/>",
K21-142514,A654403,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2364156,LOST,Kado,Dog,Over 1 year<p/>,Male,Brussels Griffon,Brown,12/10/2021 12:00:00 AM,Date Lost,21ST  AVE S AND KENT DES MOINES ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2364156,Image Copyright HLP Inc. 2022,"Description: Kado is a 14year old Terrier mix. He has hearing Lost and some vision issues. Very nice dog. He has long brown hair. He got out without his collar on.<p/>Age: Over 1 year<p/>Location Lost: 21st Ave S and Kent Des Moines Road, Seattle WA  98198<p/>Lost Date: 2021-12-10<p/>",
K22-142968,A655370,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2374530,In Public Home,,Dog,Unknown<p/>,Female,Labrador Retriever,Brown,12/31/2021 12:00:00 AM,Date Found,284TH  AVE AND 53RD AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2374530,Image Copyright HLP Inc. 2022,"Description: Chocolate lab, no collar<p/>Age: Unknown<p/>Found Near: 284th Ave and 53rd Ave S, Auburn WA  98001<p/>Found Date: 2021-12-31<p/>",
K21-142506,A654398,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2364053,In Public Home,,Dog,Under 1 year<p/>,Male,Belgian Malinois,Brown,12/06/2021 12:00:00 AM,Date Found,S  288TH ST AND 51ST AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2364053,Image Copyright HLP Inc. 2022,"Description: Has an extra nail on left rear leg<p/>Age: Under 1 year<p/>Found Near: S 288th St and 51st Ave S, Auburn WA  98001<p/>Found Date: 2021-12-06<p/>",
K21-142441,A654295,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2363028,LOST,Dante,Cat,Over 1 year<p/>,Male,American Shorthair,Black / White,12/06/2021 12:00:00 AM,Date Lost,200 block of  RIDGE DRIVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2363028,Image Copyright HLP Inc. 2022,"Description: Black and white short hair that is very large. He is also scared of everyone and everything. Loves food and sleeping.<p/>Age: Over 1 year<p/>Location Lost: 223 Ridge Drive, Renton WA  98059<p/>Lost Date: 2021-12-06<p/>",
K21-142962,A655349,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2374300,In Public Home,,Dog,Unknown<p/>,Unknown,Labrador Retriever,Brown,12/31/2021 12:00:00 AM,Date Found,284TH  AND 53RD AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2374300,Image Copyright HLP Inc. 2022,"Description: Very sweet senior chocolate lab <p/>Age: Unknown<p/>Found Near: 284th and 53rd Ave S, Auburn WA  98001<p/>Found Date: 2021-12-31<p/>",
K21-142688,A654767,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2367685,LOST,Louie,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Black,12/05/2021 12:00:00 AM,Date Lost,7600 block of  MYERS RD. E,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2367685,Image Copyright HLP Inc. 2022,"Description: Louie is a blind (no eyes), tuxedo, neutered cat. <p/>Age: Over 1 year<p/>Location Lost: 7602 Myers Rd. E, Bonney Lake WA  98391<p/>Lost Date: 2021-12-05<p/>",
K21-142481,A654359,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2363633,LOST,Sox,Dog,Over 1 year<p/>,Female,Shih Tzu,Black,12/08/2021 12:00:00 AM,Date Lost,124TH  AND AMBAUM BLVB,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2363633,Image Copyright HLP Inc. 2022,"Description: Sox is an older female dog (around 15 years). She is black with graying hair. She has white fur on her paws and close to the chest area. <p/>Age: Over 1 year<p/>Location Lost: 124th and Ambaum BLVB, Seattle WA  98146<p/>Lost Date: 2021-12-08<p/>",
K22-143084,A655624,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A655624,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cam,Dog,1 YEAR,Neutered Male,Australian Cattle Dog / Mix,White / Tan,01/05/2022 12:00:00 AM,Received on,29400 block of  34TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655624,Image Copyright HLP Inc. 2022,"Received on: 2022-01-05<p/> Found Near: 29400 block of  34TH AVE S<p/> Description: White / Tan Neutered Male Australian Cattle Dog / Mix Dog<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-142457,A654332,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2363337,LOST,Pabu,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,12/08/2021 12:00:00 AM,Date Lost,158TH  PL SE AND SE 4TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2363337,Image Copyright HLP Inc. 2022,"Description: Very sweet orange tabby with green eyes and strong whiskers.<p/>Age: Over 1 year<p/>Location Lost: 158th Pl SE and SE 4th St, Bellevue WA  98008<p/>Lost Date: 2021-12-08<p/>",
K22-143182,A655855,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,9 WEEKS,Female,Domestic Longhair,Brn Tabby,01/10/2022 12:00:00 AM,Received on,4000 block of  S 158TH ST,TUKWILA,WA,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655855,Image Copyright HLP Inc. 2022,Received on: 2022-01-10<p/> Found Near: 4000 block of  S 158TH ST<p/> Description: Brn Tabby Female Domestic Longhair Cat<p/> Age: 9 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K22-143151,A655756,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,2 YEARS,Male,Alaskan Husky,Tan / Black,01/09/2022 12:00:00 AM,Received on,21600 block of  64TH AVE S,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2022,Received on: 2022-01-09<p/> Found Near: 21600 block of  64TH AVE S<p/> Description: Tan / Black Male Alaskan Husky Dog<p/> Age: 2 YEARS<p/>,
K22-142977,A655388,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2374791,In Public Home,,Dog,Unknown<p/>,Female,American Pit Bull Terrier,Brown,12/31/2021 12:00:00 AM,Date Found,42ND  AND EASTERN IN WALLINGFORD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2374791,Image Copyright HLP Inc. 2022,"Description: Female Pitbull appears to have given birth recently/is currently nursing. No tag, but a leather collar with spikes/studs on the outside.<p/>Age: Unknown<p/>Found Near: 42nd and Eastern in Wallingford, Seattle WA  98103<p/>Found Date: 2021-12-31<p/>",
K21-142487,A654372,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2363758,LOST,Lucy,Dog,Under 1 year<p/>,Female,Chihuahua - Long Haired,Brown,12/09/2021 12:00:00 AM,Date Lost,3100 block of  S 144TH ST,SEATAC,,98168,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2363758,Image Copyright HLP Inc. 2022,"Description: shes a chihuahua and pomeranian mix <p/>Age: Under 1 year<p/>Location Lost: 3123 s 144th st seatac wa 98168, Seattle WA  98168<p/>Lost Date: 2021-12-09<p/>",
K22-142966,A655368,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2374482,LOST,Milky,Dog,Over 1 year<p/>,Male,Korean Jindo,White,01/01/2022 12:00:00 AM,Date Lost,PROSPECT  ST AND 3RD AVE N,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2374482,Image Copyright HLP Inc. 2022,"Description: He was a rescue dog with intimated personality. Please help<p/>Age: Over 1 year<p/>Location Lost: Prospect St and 3rd Ave N, Seattle WA  98109<p/>Lost Date: 2022-01-01<p/>",
K21-142925,A655277,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2373520,In Public Home,Unknown,Dog,Unknown<p/>,Male,Samoyed,White,12/28/2021 12:00:00 AM,Date Found,240TH  AND 116TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2373520,Image Copyright HLP Inc. 2022,"Description: White Samoyed Found in Kent chasing cars. No collar and no tag. He is living with us until owners Found.<p/>Age: Unknown<p/>Found Near: 240th and 116th, Kent WA  98031<p/>Found Date: 2021-12-28<p/>",
K22-143265,A656107,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2381171,LOST,Cooper,Dog,Over 1 year<p/>,Unknown,Labrador Retriever,Black,01/13/2022 12:00:00 AM,Date Lost,S  216TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2381171,Image Copyright HLP Inc. 2022,"Description: Black with white patch on chest, unfixed, brown eyes. Beige Kong harness <p/>Age: Over 1 year<p/>Location Lost: S 216th street , Kent WA  98032<p/>Lost Date: 2022-01-13<p/>",
K22-143008,A655434,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2375412,LOST,Ella,Dog,Over 1 year<p/>,Female,Toy Poodle,Unknown,12/13/2021 12:00:00 AM,Date Lost,112TH  N 3RD ST SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2375412,Image Copyright HLP Inc. 2022,"Description: Apricot colored micro goldendoodle stolen by door dasher. He could have sold her or kept for Christmas pet. <p/>Age: Over 1 year<p/>Location Lost: 112th n 3rd st se , Everett WA  98208<p/>Lost Date: 2021-12-13<p/>",
K21-142853,A655092,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2371074,LOST,Leo,Dog,Under 1 year<p/>,Male,German Shepherd,Unknown,12/24/2021 12:00:00 AM,Date Lost,SE  254TH PL KENT WA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2371074,Image Copyright HLP Inc. 2022,"Description: Leo’s eyes are brown, his ears are down. He is around 4 months and a half.<p/>Age: Under 1 year<p/>Location Lost: SE 254th PL Kent WA, Kent WA  98030<p/>Lost Date: 2021-12-24<p/>",
K21-142712,A654828,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2368429,In Public Home,,Cat,Unknown<p/>,Unknown,Domestic Mediumhair,Unknown,12/05/2021 12:00:00 AM,Date Found,SE  35TH ST AND 252ND KLAHANIE SAMMAMISH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2368429,Image Copyright HLP Inc. 2022,"<p/>Age: Unknown<p/>Found Near: SE 35th St and 252nd klahanie sammamish, Issaquah WA  98029<p/>Found Date: 2021-12-05<p/>",
K21-142879,A655171,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2372425,LOST,Raja,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,12/23/2021 12:00:00 AM,Date Lost,2700 block of  NE 5TH CT,FERNDALE ED,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2372425,Image Copyright HLP Inc. 2022,"Description: Grey some white white around her eyes like an Egyptian sweet hisses occasion to talk <p/>Age: Over 1 year<p/>Location Lost: 2701 ne 5th ct, Ferndale,  Edmonds, Renton WA  98056<p/>Lost Date: 2021-12-23<p/>",
K21-142754,A654949,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2369530,LOST,Peanut,Dog,Over 1 year<p/>,Male,Pomeranian,Unknown,12/19/2021 12:00:00 AM,Date Lost,LAKESIDE  BL W AND S. 237TH PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2369530,Image Copyright HLP Inc. 2022,"Description: Small orange/ tan Pomeranian- 9 lbs, wearing an orange harness, last seen near Neely Soames historical home on green river trail in Kent WA at 4pm on 12/19/21<p/>Age: Over 1 year<p/>Location Lost: Lakeside Bl W and S. 237th Pl, Kent WA  98032<p/>Lost Date: 2021-12-19<p/>",
K22-142984,A655397,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2374994,LOST,Tanker,Dog,Over 1 year<p/>,Male,Pit Bull,Unknown,01/01/2022 12:00:00 AM,Date Lost,380TH  ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2374994,Image Copyright HLP Inc. 2022,"Description: Brindle bully, about 65-70lbs. <p/>Age: Over 1 year<p/>Location Lost: 380th St , Auburn WA  98001<p/>Lost Date: 2022-01-01<p/>",
